Fragen;Option1;Option2;Option3;Korrekte_Option;Tipp
Für das kommende Jahr wird _____ einem weiteren Anstieg der Mineralölpreise gerechnet.;mit;zu;nach;1;
Die Verbraucherzentralen helfen _____ privater Verschuldung.;auf;bei;mit;2;
Die IHK lädt Unternehmen aus der Region _____ einer Informationsveranstaltung ein.;für;auf;zu;3;
Die Journalisten fragten _____ den Auswirkungen der geplanten Reform auf die Energiepreise.;nach;zu;auf;1;
Der Minister erinnerte die Arbeitgeber _____ ihre Versprechen, mehr Lehrstellen anzubieten.;auf;an;nach;2;
Die Unternehmen freuen sich _____ die beschlossenen Maßnahmen zur Entbürokratisierung.;auf;an;über;3;
Bei Auslandsgeschäften kommt es in erster Linie _____ eine gute Produktqualität und die Wahl des richtigen Partners im Zielmarkt an.;auf;an;über;1;
Viele Arbeitgeber kümmern sich nicht systematisch ____ die Gesundheit ihrer Mitarbeiter.;auf;um;für;2;
Das Finanzministerium wartet immer noch _____ das Gutachten des Sachverständigenrates.;an;über;auf;3;
Die Unternehmen achten zu wenig ______ die Weiterbildung ihrer Mitarbeiter.;auf;an;über;1;
Das Team der Schuldnerberatung besteht _____ qualifizierten und sachkundigen Fachleuten.;auf;aus;in;2;
Die Bürgerinitiative gegen den Erweiterung des Gewerbeparks hat einen offenen Brief _____die Stadtverwaltung geschrieben.;auf;zu;an;3;
Die Pressemeldungen über verdorbene Lebensmittel sorgen in der Bevölkerung ____ Aufregung.;für;auf;zu;1;
Die vom ausufernden Telefonmarketing genervten Kunden wenden sich vermehrt ____ die Verbraucherzentralen.;auf;an;zu;2;
Am meisten profitieren die großen Discounter _____ der Neuregelung.;auf;über;von;3;
Bei dem im Konzern aufgedeckten Korruptionsfall handelt es sich nicht _____ ein Bagatelldelikt;um;auf;über;1;
Die Expertenempfehlung, eine PKW-Maut einzuführen, bezieht sich nur _____ den grenzüberschreitenden Verkehr;an;auf;über;2;
 _____ der Kundgebung gegen die Werksschließung nahmen ca. 5.000 Personen teil.;auf;zu;an;3;
Die Konzernleitung entschied sich _____ den Verkauf des defizitären Geschäftsbereiches.;für;über;auf;1;
Das Unternehmen beschäftigt sich _____ der Entwicklung neuer, keramischer Werkstoffe;auf;mit;für;2;
Bei vielen Unternehmen der Branche geht es mittlerweile nur noch _____ die nackte Existenz;auf;an;um;3;
Die Medien berichteten bereits des Öfteren _____ die dubiosen Geschäftsmethoden des Unternehmens.;über;auf;an;1;
Der Konzern gehört _____ den weltweit führenden Anbietern im Bereich der Solarenergie;auf;zu;an;2;
Die Regierung hat sich _____ eine Verlängerung der Subventionen für den heimischen Kohlebergbau bis zum Jahr 20... entschieden;auf;zu;für;3;
Ein Großteil der Betriebe richtet sich mittlerweile nicht mehr _______ Tarifverträgen, sondern sucht möglichst „billige“ Mitarbeiter.;nach;auf;an;1;
Erkundigen Sie sich ______ der Zufriedenheit des Kunden!;nach;auf;für;1;
Gehen Sie gezielt ______ das Problem oder den Wunsch des Kunden ein!;an;auf;für;2;
Stellen Sie ruhig und sachlich Zwischenfragen, denn dies zeugt _____ Ihrem Interesse!;auf;über;von;3;
Konzentrieren Sie sich aber dabei ______ das Wesentliche!;auf;für;an;1;
Vermitteln Sie dem Kunden Ihr Bedauern, dass es ______ der Panne gekommen ist!;auf;zu;an;2;
Bitten Sie ihn bei Lieferverzögerungen ____ Nachsicht, und erklären Sie ihm, was Sie tun werden, damit ihm schnellstmöglich die bestellte Ware zugestellt wird!;für;auf;um;3;
Sagen Sie ihm bei weiterem Klärungsbedarf einen festen Termin zu dem Sie sich wieder ______ ihm melden!;bei;auf;zu;1;
Verweisen Sie nicht stereotyp ______ Ihre Vorschriften, wenn der Kunde auf den Umtausch oder die Rückerstattung des Kaufpreises besteht!;an;auf;über;2;
